Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Start Time of Year (hr),Start time (hr),End Time of Year (hr),Type
1H4,1.0,0.262,FAUC,0.8640000000000001,17.53,17.53,17.534366666666667,1.0
1H7,1.0,0.16699999999999998,FAUC,0.518,17.62,17.62,17.622783333333334,1.0
1H7,1.0,0.16699999999999998,FAUC,0.9790000000000001,17.63,17.63,17.632783333333332,1.0
1H4,1.0,1.179,FAUC,1.504,20.04,20.04,20.059649999999998,1.0
1H7,1.0,4.833,FAUC,0.687,21.67,21.67,21.75055,1.0
1H7,1.0,0.16699999999999998,FAUC,0.461,21.78,21.78,21.782783333333334,1.0
1H7,1.0,0.667,FAUC,0.763,21.79,21.79,21.801116666666665,1.0
1H7,1.0,0.33299999999999996,FAUC,0.518,21.82,21.82,21.82555,1.0
1H7,1.0,0.16699999999999998,FAUC,0.461,21.86,21.86,21.862783333333333,1.0
1D9,2.0,1.6669999999999998,DWSH,1.145,25.3,1.3000000000000007,25.327783333333333,1.0
1D9,2.0,1.5,DWSH,1.014,25.87,1.870000000000001,25.895,1.0
1D9,2.0,0.131,FAUC,0.40299999999999997,26.09,2.09,26.092183333333335,1.0
1D9,2.0,1.3330000000000002,DWSH,1.179,26.1,2.1000000000000014,26.122216666666667,1.0
1D6,2.0,0.31,FAUC,0.9790000000000001,26.52,2.5199999999999996,26.525166666666667,1.0
1D6,2.0,0.155,FAUC,1.037,26.53,2.530000000000001,26.532583333333335,1.0
1D6,2.0,1.3940000000000001,FAUC,0.9279999999999999,26.56,2.5599999999999987,26.583233333333332,1.0
1D9,2.0,0.131,FAUC,0.28800000000000003,30.75,6.75,30.752183333333335,1.0
1D9,2.0,0.39299999999999996,FAUC,1.44,30.759999999999998,6.759999999999998,30.76655,1.0
1D9,2.0,0.524,FAUC,1.426,30.77,6.77,30.77873333333333,1.0
1D9,2.0,0.7859999999999999,FAUC,1.018,31.02,7.02,31.0331,1.0
1D9,2.0,0.262,FAUC,1.9869999999999999,31.22,7.219999999999999,31.224366666666665,1.0
1D9,2.0,0.655,FAUC,1.452,31.23,7.23,31.240916666666667,1.0
1D9,2.0,0.39299999999999996,FAUC,1.037,31.509999999999998,7.509999999999998,31.51655,1.0
1D6,2.0,0.62,FAUC,1.051,31.78,7.780000000000001,31.790333333333333,1.0
1D6,2.0,0.31,FAUC,0.547,31.93,7.93,31.935166666666667,1.0
