Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Start Time of Year (hr),Start time (hr)
1D9,2.0,0.131,FAUC,0.28800000000000003,38.8,14.8
1D9,2.0,0.131,FAUC,0.28800000000000003,38.8,14.8
1D9,2.0,0.131,FAUC,2.131,39.07,15.07
1D9,2.0,0.262,FAUC,0.893,40.47,16.47
1D9,2.0,0.131,FAUC,0.518,41.29,17.29
1D9,2.0,0.262,FAUC,0.835,41.39,17.39
1D9,2.0,0.131,FAUC,0.8059999999999999,41.43,17.43
1D9,2.0,0.131,FAUC,0.922,41.44,17.44
1D9,2.0,0.39299999999999996,FAUC,1.229,41.44,17.44
1D9,2.0,0.262,FAUC,0.49,41.61,17.61
1D9,2.0,0.524,FAUC,1.123,41.989999999999995,17.99
1D9,2.0,0.131,FAUC,0.9790000000000001,42.04,18.04
1D9,2.0,0.131,FAUC,0.518,42.17,18.17
1D9,2.0,0.262,FAUC,1.037,42.31,18.31
1D9,2.0,0.131,FAUC,0.5760000000000001,42.32,18.32
1D9,2.0,1.834,FAUC,1.469,42.33,18.33
1D9,2.0,0.262,FAUC,0.893,42.39,18.39
1D9,2.0,0.524,FAUC,1.3969999999999998,42.4,18.4
1D9,2.0,0.131,FAUC,0.518,42.59,18.59
1D9,2.0,0.131,FAUC,0.28800000000000003,42.6,18.6
1D9,2.0,0.262,FAUC,1.094,42.89,18.89
1D9,2.0,0.524,FAUC,1.3969999999999998,44.29,20.29
1D9,2.0,0.524,FAUC,1.253,44.3,20.3
1D9,2.0,0.131,FAUC,0.518,45.29,21.29
1D9,2.0,0.655,FAUC,1.198,45.870000000000005,21.87
1D9,2.0,0.131,FAUC,0.40299999999999997,45.89,21.89
1D9,2.0,0.262,FAUC,0.691,45.9,21.9
1D9,2.0,0.131,FAUC,0.28800000000000003,45.97,21.97
1D9,2.0,8.908999999999999,SHWR,2.0,46.09,22.09
1D9,2.0,0.39299999999999996,FAUC,0.941,46.3,22.3
1D9,2.0,0.131,FAUC,0.28800000000000003,46.32,22.32
1E9,3.0,4.585,FAUC,0.9740000000000001,53.11,5.11
1E9,3.0,4.333,CWSH,1.271,54.67,6.67
1E9,3.0,0.131,FAUC,0.8640000000000001,54.79,6.79
1E9,3.0,0.262,FAUC,0.662,54.91,6.91
1E9,3.0,2.0,CWSH,0.8590000000000001,54.95,6.95
1E9,3.0,0.524,FAUC,1.08,55.01,7.01
1E9,3.0,4.5,CWSH,1.206,55.06,7.06
1E9,3.0,0.524,FAUC,0.648,55.07,7.07
1E9,3.0,0.39299999999999996,FAUC,0.691,55.1,7.1
1E9,3.0,0.7859999999999999,FAUC,1.44,55.15,7.15
1E9,3.0,0.131,FAUC,1.2670000000000001,55.28,7.28
1E9,3.0,3.5,CWSH,1.599,55.91,7.91
1E9,3.0,0.131,FAUC,1.7280000000000002,56.18,8.18
1E9,3.0,0.262,FAUC,1.296,56.2,8.2
1E9,3.0,0.131,FAUC,1.2670000000000001,56.22,8.22
1E9,3.0,1.6669999999999998,CWSH,1.05,56.25,8.25
1E9,3.0,0.39299999999999996,FAUC,2.842,56.269999999999996,8.27
1E9,3.0,4.5,CWSH,1.179,56.3,8.3
1E9,3.0,0.7859999999999999,FAUC,1.1520000000000001,56.59,8.59
1E9,3.0,0.7859999999999999,FAUC,1.3630000000000002,56.61,8.61
1E9,3.0,0.655,FAUC,1.117,56.64,8.64
1E9,3.0,0.262,FAUC,1.296,56.66,8.66
1E9,3.0,0.131,FAUC,0.8640000000000001,56.95,8.95
1E9,3.0,0.524,FAUC,1.944,57.76,9.76
1E9,3.0,0.262,FAUC,0.43200000000000005,58.269999999999996,10.27
1E9,3.0,0.262,FAUC,2.362,58.5,10.5
1E9,3.0,0.262,FAUC,1.354,58.54,10.54
1E9,3.0,0.262,FAUC,1.526,58.6,10.6
1E9,3.0,0.262,FAUC,0.662,58.65,10.65
1E9,3.0,0.262,FAUC,0.662,58.71,10.71
1E9,3.0,0.131,FAUC,0.461,58.8,10.8
1E9,3.0,0.262,FAUC,2.189,58.85,10.85
1E9,3.0,0.262,FAUC,0.8640000000000001,58.86,10.86
1E9,3.0,0.262,FAUC,1.094,58.88,10.88
1E9,3.0,0.39299999999999996,FAUC,1.1520000000000001,58.96,10.96
1E9,3.0,0.262,FAUC,0.8640000000000001,59.01,11.01
1E9,3.0,0.131,FAUC,1.2670000000000001,59.09,11.09
1E9,3.0,0.39299999999999996,FAUC,1.44,59.11,11.11
1E9,3.0,0.131,FAUC,1.2670000000000001,59.14,11.14
1E9,3.0,0.262,FAUC,0.43200000000000005,59.34,11.34
1E9,3.0,0.262,FAUC,1.094,59.51,11.51
1E9,3.0,0.131,FAUC,1.2670000000000001,59.54,11.54
1E9,3.0,0.39299999999999996,FAUC,1.44,59.56,11.56
1E9,3.0,0.262,FAUC,0.922,59.63,11.63
1E9,3.0,0.131,FAUC,1.7280000000000002,59.64,11.64
1E9,3.0,0.7859999999999999,FAUC,1.008,59.94,11.94
1E9,3.0,0.262,FAUC,0.662,60.88,12.88
1E9,3.0,0.262,FAUC,0.662,61.1,13.1
1E9,3.0,0.262,FAUC,1.411,62.37,14.37
1E9,3.0,0.524,FAUC,1.8430000000000002,62.4,14.4
1E9,3.0,0.131,FAUC,2.131,62.42,14.42
