,Hot Water Draw Volume (L),Mains Temperature (deg C),Outdoor Temperature (deg C),Timestep (min)
2022-01-01 00:00:00,0.0,11.861111111111112,10.999999999999998,60.0
2022-01-01 01:00:00,0.0,11.861111111111112,10.999999999999998,60.0
2022-01-01 02:00:00,0.0,11.861111111111112,10.999999999999998,60.0
2022-01-01 03:00:00,0.0,11.861111111111112,10.899999999999999,60.0
2022-01-01 04:00:00,0.0,11.861111111111112,10.1,60.0
2022-01-01 05:00:00,0.0,11.861111111111112,10.999999999999998,60.0
2022-01-01 06:00:00,0.0,11.861111111111112,10.899999999999999,60.0
2022-01-01 07:00:00,0.0,11.861111111111112,10.299999999999999,60.0
2022-01-01 08:00:00,0.0,11.861111111111112,10.999999999999998,60.0
2022-01-01 09:00:00,0.2375106168945139,11.861111111111112,10.999999999999998,60.0
2022-01-01 10:00:00,1.1101047069613401,11.861111111111112,12.0,60.0
2022-01-01 11:00:00,0.0,11.861111111111112,11.700000000000001,60.0
2022-01-01 12:00:00,0.0,11.861111111111112,10.999999999999998,60.0
2022-01-01 13:00:00,0.0,11.861111111111112,12.0,60.0
2022-01-01 14:00:00,0.0,11.861111111111112,12.0,60.0
2022-01-01 15:00:00,0.0,11.861111111111112,11.9,60.0
2022-01-01 16:00:00,0.0,11.861111111111112,11.300000000000002,60.0
2022-01-01 17:00:00,0.0,11.861111111111112,10.999999999999998,60.0
2022-01-01 18:00:00,0.0,11.861111111111112,10.999999999999998,60.0
2022-01-01 19:00:00,0.6753737670738754,11.861111111111112,10.899999999999999,60.0
2022-01-01 20:00:00,2.322533931441501,11.861111111111112,10.0,60.0
2022-01-01 21:00:00,0.3772570595390887,11.861111111111112,9.9,60.0
2022-01-01 22:00:00,0.0,11.861111111111112,8.900000000000002,60.0
2022-01-01 23:00:00,0.0,11.861111111111112,7.799999999999999,60.0
2022-01-02 00:00:00,0.0,11.884166666666667,5.999999999999998,60.0
2022-01-02 00:00:00,0.0,11.884166666666667,5.999999999999998,60.0
2022-01-02 01:00:00,0.0,11.884166666666667,6.099999999999998,60.0
2022-01-02 02:00:00,0.0,11.884166666666667,6.800000000000001,60.0
2022-01-02 03:00:00,0.0,11.884166666666667,5.1,60.0
2022-01-02 04:00:00,0.0,11.884166666666667,5.999999999999998,60.0
2022-01-02 05:00:00,0.0,11.884166666666667,5.999999999999998,60.0
2022-01-02 06:00:00,0.0,11.884166666666667,5.999999999999998,60.0
2022-01-02 07:00:00,0.0,11.884166666666667,6.1999999999999975,60.0
2022-01-02 08:00:00,0.0,11.884166666666667,7.999999999999999,60.0
2022-01-02 09:00:00,0.0,11.884166666666667,7.999999999999999,60.0
2022-01-02 10:00:00,0.0,11.884166666666667,8.1,60.0
2022-01-02 11:00:00,0.0,11.884166666666667,9.100000000000001,60.0
2022-01-02 12:00:00,0.0,11.884166666666667,10.0,60.0
2022-01-02 13:00:00,0.0,11.884166666666667,10.299999999999999,60.0
2022-01-02 14:00:00,0.0,11.884166666666667,10.0,60.0
2022-01-02 15:00:00,0.0,11.884166666666667,10.0,60.0
2022-01-02 16:00:00,0.0,11.884166666666667,9.700000000000001,60.0
2022-01-02 17:00:00,0.0,11.884166666666667,9.4,60.0
2022-01-02 18:00:00,0.82166057464017,11.884166666666667,9.000000000000002,60.0
2022-01-02 19:00:00,0.0,11.884166666666667,8.900000000000002,60.0
2022-01-02 20:00:00,0.0,11.884166666666667,7.999999999999999,60.0
2022-01-02 21:00:00,0.0,11.884166666666667,7.8999999999999995,60.0
2022-01-02 22:00:00,0.0,11.884166666666667,7.1000000000000005,60.0
2022-01-02 23:00:00,0.0,11.884166666666667,7.8999999999999995,60.0
2022-01-03 00:00:00,0.0,11.85472222222222,6.800000000000001,60.0
2022-01-03 00:00:00,0.0,11.85472222222222,6.800000000000001,60.0
2022-01-03 01:00:00,0.0,11.85472222222222,5.0,60.0
2022-01-03 02:00:00,0.0,11.85472222222222,5.0,60.0
2022-01-03 03:00:00,0.0,11.85472222222222,4.500000000000001,60.0
2022-01-03 04:00:00,0.0,11.85472222222222,0.9999999999999984,60.0
2022-01-03 05:00:00,0.24192088517259433,11.85472222222222,0.9999999999999984,60.0
2022-01-03 06:00:00,0.0,11.85472222222222,0.9999999999999984,60.0
2022-01-03 07:00:00,1.6305550928047108,11.85472222222222,0.8999999999999986,60.0
2022-01-03 08:00:00,0.5189593181928233,11.85472222222222,0.4999999999999992,60.0
2022-01-03 09:00:00,0.0,11.85472222222222,4.400000000000001,60.0
2022-01-03 10:00:00,0.0,11.85472222222222,7.1000000000000005,60.0
2022-01-03 11:00:00,0.0,11.85472222222222,8.1,60.0
2022-01-03 12:00:00,0.0,11.85472222222222,9.000000000000002,60.0
2022-01-03 13:00:00,0.0,11.85472222222222,9.000000000000002,60.0
2022-01-03 14:00:00,0.0,11.85472222222222,9.100000000000001,60.0
2022-01-03 15:00:00,0.0,11.85472222222222,9.9,60.0
2022-01-03 16:00:00,0.22481233622118257,11.85472222222222,9.200000000000001,60.0
2022-01-03 17:00:00,0.13836914151931265,11.85472222222222,8.399999999999999,60.0
2022-01-03 18:00:00,0.0,11.85472222222222,7.8999999999999995,60.0
2022-01-03 19:00:00,0.0,11.85472222222222,6.700000000000001,60.0
2022-01-03 20:00:00,0.536067867144235,11.85472222222222,4.000000000000002,60.0
2022-01-03 21:00:00,0.9870190088601393,11.85472222222222,3.9000000000000017,60.0
2022-01-03 22:00:00,2.8079926387843614,11.85472222222222,2.999999999999999,60.0
